id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
4369,Super Star Wars: Return of the Jedi,1994-06-01,7.72,https://www.mobygames.com/game/4369/super-star-wars-return-of-the-jedi/,"Game Boy, SNES, Game Gear, Wii, Antstream","Action, 1st-person, Sci-fi / futuristic, Arcade, Side view, Platform, Licensed, Behind view, 2D scrolling, Space flight","LucasArts Entertainment Company LLC, Realtime Associates Seattle Division, Sculptured Software, Inc.","LucasArts Entertainment Company LLC, JVC Musical Industries, Inc., Playtronic Industrial Ltda., LucasArts, Black Pearl Software, Victor Entertainment Inc."
7080,Super Double Dragon,1992-10-16,6.75,https://www.mobygames.com/game/7080/super-double-dragon/,"Windows, SNES","Action, Arcade, Side view, Beat 'em up / brawler, 2D scrolling",Technos Japan Corp.,"Technos Japan Corp., Tradewest, Inc., Arc System Works Co., Ltd."
683,Lemmings,1991-02-14,7.79,https://www.mobygames.com/game/683/lemmings/,"DOS, Game Boy, SNES, Genesis, Lynx, Amiga, NES, Atari ST, Game Gear, SEGA Master System, Commodore 64, 3DO, ZX Spectrum, TurboGrafx CD, Amiga CD32, Amstrad CPC, J2ME, CD-i, Macintosh, CDTV, PC-98, FM Towns, Sharp X68000, Acorn 32-bit, SAM Coupé","Action, Side view, Platform, Fantasy, Puzzle, 2D scrolling, Point and select",DMA Design Limited,"Psygnosis Limited, Philips Interactive Media, Inc., Electronic Arts Victor, Inc., Imagineer Co., Ltd., SEGA Enterprises Ltd., Ocean Software Ltd., Sun Electronics Corp., Krisalis Software Ltd., iFone, FRED Publishing"
6586,Mega Man 7,1995-03-24,7.34,https://www.mobygames.com/game/6586/mega-man-7/,"SNES, Wii U, New Nintendo 3DS","Action, Sci-fi / futuristic, Side view, Platform, Shooter, Anime / Manga, 2D scrolling","Capcom Co., Ltd.","Laguna Videospiele Vertriebs & Marketing GmbH, Capcom Co., Ltd."
8662,Shadowrun,1993-05,7.7,https://www.mobygames.com/game/8662/shadowrun/,SNES,"Sci-fi / futuristic, Isometric, Role-playing (RPG), Detective / mystery, Cyberpunk / dark sci-fi, Fantasy, Licensed, Diagonal-down, Action RPG","Beam Software Pty., Ltd.","Data East Corporation, Data East USA, Inc., Laser Beam Entertainment Pty. Ltd."
6749,Super Bomberman,1993-04-28,7.77,https://www.mobygames.com/game/6749/super-bomberman/,SNES,"Action, Sci-fi / futuristic, Arcade, Top-down, Puzzle elements, Anime / Manga, Fixed / flip-screen, Direct control","Hudson Soft Company, Ltd., Produce Co., Ltd.","Sony Electronic Publishing Ltd., Hudson Soft Company, Ltd."
7148,Super R-Type,1991-07-13,7.26,https://www.mobygames.com/game/7148/super-r-type/,"SNES, Wii, Nintendo Switch","Action, Sci-fi / futuristic, Side view, Shooter, 2D scrolling, Space flight","Irem Software Engineering, Inc., Irem Corp.","Irem Corp., Irem America Corp., Nintendo of America Inc., Playtronic Industrial Ltda., Irem Software Engineering, Inc."
2077,The Lion King,1994-11-04,7.6,https://www.mobygames.com/game/2077/the-lion-king/,"Linux, DOS, Windows, SNES, Genesis, Amiga, Macintosh","Action, Side view, Platform, Fantasy, Licensed, 2D scrolling, Africa","Westwood Studios, Inc.","Virgin Interactive Entertainment, Inc., Virgin Interactive Entertainment (Japan), Inc., Playtronic Industrial Ltda., Disney Interactive Studios, Inc., Virgin Interactive Entertainment (Europe) Ltd."
6966,Zombies Ate My Neighbors,1993,7.8,https://www.mobygames.com/game/6966/zombies-ate-my-neighbors/,"SNES, Genesis, Wii, Antstream","Action, Shooter, Horror, Diagonal-down, 2D scrolling, Direct control, Regional differences","LucasArts Entertainment Company LLC, LucasArts","LucasArts Entertainment Company LLC, LucasArts, Konami, Inc."
6598,Castlevania: Dracula X,1995-07-21,7.22,https://www.mobygames.com/game/6598/castlevania-dracula-x/,"SNES, New Nintendo 3DS, Wii U","Action, Side view, Platform, Anime / Manga, Fantasy, Horror, 2D scrolling, Regional differences","Konami Co., Ltd.","Konami (America), Inc., Konami Digital Entertainment, Inc., Konami Co., Ltd."
